[Header]
Measurement Name = "EQE"
File Path = "/C/Users/Administrador/Documents/Roberto CICATA/EQE/EQE.TRQ"
time stamp = "07/08/2009 11:02:30 a.m."
Scan Type = "QE Scan"
X Units = "Wavelength (nm)"
Y Units = "QE (%)"

//DATA//
X	Y	Calculated
925.993	0.20856	87.61719
927.99	0.19525	87.7834
930.015	0.21185	87.06982
932.008	0.21851	87.03809
933.998	0.23908	86.93415
935.986	0.36585	86.54683
938.003	0.49658	85.45694
939.987	0.46253	85.78393
942	0.39569	85.64047
944.011	0.39417	85.64613
945.988	0.40412	84.67591
947.995	0.44068	85.24849
949.999	0.5058	84.08137
952.001	0.44275	83.68963
954.001	0.31342	83.60207
955.999	0.22705	83.98285
957.994	0.18164	83.71473
959.987	0.16162	84.16267
962.009	0.15503	84.09206
963.998	0.16498	83.52204
965.985	0.20691	82.93509
968	0.26734	82.01494
970.012	0.30054	81.67809
971.992	0.29248	81.28653
974.001	0.27783	80.86174
976.007	0.39966	80.75275
978.01	0.96393	80.1893
980.011	0.96283	79.46144
982.01	0.39795	78.67854
984.007	0.21655	79.68694
986.001	0.20593	78.68983
987.993	0.31049	78.97655
990.013	0.78675	78.24821
992	1.09217	76.6866
993.985	0.63654	75.97394
995.998	0.31397	75.3259
998.008	0.21185	75.73188
999.986	0.17615	75.06599
1001.991	0.17066	74.40892
1003.994	0.1604	73.33643
1005.995	0.15192	72.93281
1007.993	0.17572	72.50262
1009.988	0.24365	71.47938
1012.011	0.26477	71.08485
1014.002	0.21289	69.88024
1015.99	        0.15894	69.16221
1018.005	0.12421	68.86208
1019.988	0.10285	68.80058
1021.999	0.09113	67.85584
1024.006	0.08508	66.63491
1026.011	0.08142	65.88619
1028.014	0.07892	64.90565
1030.014	0.08032	64.33081
1032.011	0.08179	62.94679
1034.006	0.07666	61.98417
1035.998	0.06952	61.14854
1037.988	0.06561	59.9102
1040.004	0.06366	59.21023
1041.989	0.06348	57.84573
1044	        0.06513	56.45215
1046.008	0.06909	54.78439
1048.014	0.07532	53.62855
1049.987	0.08868	52.34336
1051.988	0.09827	50.77902
1054.014	0.08264	48.6623
1056.009	0.06732	47.26141
1058	        0.05768	45.91328
1059.99	        0.05157	44.18885
1062.005	0.04761	42.61996
1063.989	0.04474	41.0567
1065.998	0.04315	39.75184
1068.005	0.0434	38.0523
1070.009	0.04535	36.22019
1072.011	0.04511	35.07762
1074.009	0.04468	33.60352
1076.004	0.04724	32.5116
1077.997	0.04437	31.01661
1079.987	0.05029	30.52733
1082.002	0.08435	30.25657
1083.986	0.08099	28.24899
1085.995	0.04688	26.46494
1088.002	0.04761	25.32785
1090.005	0.05408	24.15011
1092.006	0.03803	22.21079
1094.003	0.03003	20.5027
1095.998	0.02643	18.87539
1097.989	0.02454	17.46431
1100.006	0.0238	16.17466
